# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1418073484;-54485.00;1.72;35119.15
axle;60;1418073544;-9110.90;0.43;1000.48
axle;60;1418073604;-4973.94;0.54;-720.16
axle;60;1418073664;-14570.85;0.55;8473.78
axle;60;1418073724;-2787.78;0.61;-4935.51
axle;59;1418073784;-648.45;-251.31;-12446.11
axle;60;1418073844;-85.46;-0.99;-8006.13
axle;60;1418073904;5884.27;-0.25;3680.08
axle;60;1418073964;28926.68;0.53;1218.49
axle;60;1418074024;-12807.56;0.72;1260.79
axle;60;1418074084;-22145.37;0.43;-2945.97
axle;60;1418074144;1777.01;0.33;-6108.02
axle;60;1418074204;-1854.35;0.20;-3380.10
axle;60;1418074264;36454.43;0.45;68.13
axle;60;1418074324;5276.23;0.47;9423.36
axle;60;1418074384;-6284.83;0.57;4148.06
axle;60;1418074444;528.32;0.43;-479.61
axle;60;1418074504;4762.49;0.52;45.09
axle;60;1418074564;-5998.08;0.47;2014.45
axle;60;1418074624;4547.29;0.58;117.39
axle;60;1418074684;-2815.44;0.35;-1229.04
axle;60;1418074744;-14368.29;0.48;4467.16
axle;60;1418074804;730.41;0.47;-6167.41
axle;60;1418074864;-8804.92;0.45;2534.50
axle;60;1418074924;-7221.86;0.52;-2420.06
axle;60;1418074984;-6737.11;0.47;-5660.06
axle;60;1418075044;13237.11;0.47;-4497.35
axle;60;1418075104;-9109.81;0.52;13569.65
axle;60;1418075164;8918.13;0.42;2417.13
axle;60;1418075224;13475.58;0.33;923.65
axle;60;1418075284;529.31;0.47;175.15
axle;60;1418075344;8423.80;0.27;-2861.12
axle;60;1418075404;-1790.74;0.47;1848.35
axle;60;1418075464;-4617.55;0.67;1112.97
axle;60;1418075524;-2168.34;0.45;33.68
axle;60;1418075584;-3116.65;0.47;15.09
axle;60;1418075644;-3.55;0.72;95.33
axle;60;1418075704;-1084.22;0.38;21.93
axle;60;1418075764;26222.77;0.67;365.87
