# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1418073484;0.00;0.00
axle;60;1418073544;0.00;0.00
axle;60;1418073604;0.00;0.00
axle;60;1418073664;0.00;0.00
axle;60;1418073724;0.00;0.00
axle;59;1418073784;0.00;0.00
axle;60;1418073844;0.00;0.00
axle;60;1418073904;0.00;0.00
axle;60;1418073964;0.00;0.00
axle;60;1418074024;0.00;0.00
axle;60;1418074084;0.00;0.00
axle;60;1418074144;0.00;0.00
axle;60;1418074204;0.00;0.00
axle;60;1418074264;0.00;0.00
axle;60;1418074324;0.00;0.00
axle;60;1418074384;0.00;0.00
axle;60;1418074444;0.00;0.00
axle;60;1418074504;0.00;0.00
axle;60;1418074564;0.00;0.00
axle;60;1418074624;0.00;0.00
axle;60;1418074684;0.00;0.00
axle;60;1418074744;0.00;0.00
axle;60;1418074804;0.00;0.00
axle;60;1418074864;0.00;0.00
axle;60;1418074924;0.00;0.00
axle;60;1418074984;0.00;0.00
axle;60;1418075044;0.00;0.00
axle;60;1418075104;0.00;0.00
axle;60;1418075164;0.00;0.00
axle;60;1418075224;0.00;0.00
axle;60;1418075284;0.00;0.00
axle;60;1418075344;0.00;0.00
axle;60;1418075404;0.00;0.00
axle;60;1418075464;0.00;0.00
axle;60;1418075524;0.00;0.00
axle;60;1418075584;0.00;0.00
axle;60;1418075644;0.00;0.00
axle;60;1418075704;0.00;0.00
axle;60;1418075764;0.00;0.00
