# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1418073484;0.00;72.45;422005.29;0.00;44745.33;0.00;0.00;0.00;0.00
axle;60;1418073544;0.00;109.28;210022.86;0.00;15823.75;0.00;0.00;0.00;0.00
axle;60;1418073604;0.00;79.38;215771.46;0.00;33157.16;0.00;0.00;0.00;0.00
axle;60;1418073664;0.00;84.71;247175.85;0.00;27092.85;0.00;0.00;0.00;0.00
axle;60;1418073724;0.00;132.37;305467.50;0.00;55513.63;0.00;0.00;0.00;0.00
axle;59;1418073784;75.31;71.81;229985.67;0.05;32738.75;19730.04;0.00;19729.98;100.00
axle;60;1418073844;1.68;53.05;122282.11;0.05;46072.84;22389.04;0.00;22389.04;100.00
axle;60;1418073904;0.00;108.84;174199.45;0.00;79859.78;23011.14;0.00;23011.14;100.00
axle;60;1418073964;0.00;95.31;229912.23;0.00;72237.11;485.18;0.00;485.18;100.00
axle;60;1418074024;0.00;104.64;315856.87;0.00;25130.73;0.00;0.00;0.00;0.00
axle;60;1418074084;0.00;94.02;175181.41;0.00;30001.50;3394.55;0.00;3394.55;100.00
axle;60;1418074144;0.00;71.61;149214.50;0.00;44387.68;13782.28;0.00;13782.28;100.00
axle;60;1418074204;18.68;26.09;94998.37;0.07;40926.17;11919.25;0.00;11919.25;100.00
axle;60;1418074264;0.00;74.50;112219.89;0.00;65038.37;3561.80;0.00;3561.80;100.00
axle;60;1418074324;0.00;97.86;212071.09;0.00;60916.31;0.00;0.00;0.00;0.00
axle;60;1418074384;0.00;125.73;245502.29;0.00;25742.44;0.00;0.00;0.00;0.00
axle;60;1418074444;0.00;58.18;171362.37;0.00;25502.99;0.00;0.00;0.00;0.00
axle;60;1418074504;0.00;59.06;160655.97;0.00;44429.50;0.00;0.00;0.00;0.00
axle;60;1418074564;0.00;154.60;217038.60;0.00;29212.38;0.00;0.00;0.00;0.00
axle;60;1418074624;0.00;85.79;195097.13;0.00;39417.89;0.00;0.00;0.00;0.00
axle;60;1418074684;0.00;85.62;186896.79;0.00;24712.94;0.00;0.00;0.00;0.00
axle;60;1418074744;0.00;58.42;169501.98;0.00;32063.22;0.00;0.00;0.00;0.00
axle;60;1418074804;0.00;80.71;224991.36;0.00;37392.09;0.00;0.00;0.00;0.00
axle;60;1418074864;0.00;96.55;209357.51;0.00;25912.26;0.00;0.00;0.00;0.00
axle;60;1418074924;0.00;82.25;191364.63;0.00;26921.28;0.00;0.00;0.00;0.00
axle;60;1418074984;0.00;119.48;202880.35;0.00;40060.73;9777.05;0.00;9777.05;100.00
axle;60;1418075044;0.00;91.57;200194.81;0.00;45803.02;6933.99;0.00;6933.99;100.00
axle;60;1418075104;0.00;61.49;215583.21;0.00;23571.36;0.00;0.00;0.00;0.00
axle;60;1418075164;0.00;75.53;151719.87;0.00;40967.20;0.00;0.00;0.00;0.00
axle;60;1418075224;0.00;59.89;79057.10;0.00;23299.12;0.00;0.00;0.00;0.00
axle;60;1418075284;0.07;75.17;145189.87;0.00;25220.57;0.00;0.00;0.00;0.00
axle;60;1418075344;0.00;60.52;95042.51;0.00;22427.35;0.00;0.00;0.00;0.00
axle;60;1418075404;0.00;110.44;165654.99;0.00;24454.90;0.00;0.00;0.00;0.00
axle;60;1418075464;0.00;138.35;240898.50;0.00;32400.00;0.00;0.00;0.00;0.00
axle;60;1418075524;0.00;43.38;190955.82;0.00;17941.66;0.00;0.00;0.00;0.00
axle;60;1418075584;0.00;106.42;239872.13;0.00;16604.05;0.00;0.00;0.00;0.00
axle;60;1418075644;0.00;119.53;263814.15;0.00;23883.23;0.00;0.00;0.00;0.00
axle;60;1418075704;0.00;52.13;216659.10;0.00;10725.25;0.00;0.00;0.00;0.00
axle;60;1418075764;3.66;984.34;235757.71;0.05;61507.10;0.00;0.00;0.00;0.00
