# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1418070835;38349196;226175228;85.50;456684;22286564;207952472;76.20
axle;59;1418070895;36993176;227531248;86.02;456772;23647232;207940668;76.19
axle;60;1418070955;39123860;225400564;85.21;456888;21938840;207516668;76.04
axle;60;1418071015;42860840;221663584;83.80;456928;17981384;207759456;76.13
axle;60;1418071075;42623520;221900904;83.89;456960;17982752;208005312;76.22
axle;60;1418071135;42381756;222142668;83.98;457004;17984392;208261708;76.31
axle;60;1418071195;42140344;222384080;84.07;457048;17985772;208466608;76.39
axle;60;1418071255;42038824;222485600;84.11;457080;17987404;208548908;76.42
axle;60;1418071315;42036692;222487732;84.11;457116;17989036;208548908;76.42
axle;60;1418071375;42035436;222488988;84.11;457156;17990416;208548908;76.42
axle;60;1418071435;42030620;222493804;84.11;457180;17991964;208548908;76.42
axle;60;1418071495;40580204;223944220;84.66;457240;20514776;207480116;76.03
axle;60;1418071555;28354296;236170128;89.28;457312;32744716;207480116;76.03
axle;60;1418071615;19821120;244703304;92.51;457384;39864400;208907292;76.55
axle;60;1418071675;17742368;246782056;93.29;457416;39866256;210989588;77.31
axle;60;1418071735;16461436;248062988;93.78;457456;39868384;212244760;77.77
axle;60;1418071795;16454920;248069504;93.78;457500;39869780;212244760;77.77
axle;60;1418071855;21131464;243392960;92.01;457548;39915572;207528368;76.04
axle;60;1418071915;21066100;243458324;92.04;457600;40027364;207482380;76.03
axle;60;1418071975;21066384;243458040;92.04;457632;40029224;207482380;76.03
axle;60;1418072035;20530428;243993996;92.24;457688;40030980;208016348;76.22
axle;60;1418072095;20494268;244030156;92.25;457720;40032576;208057328;76.24
axle;60;1418072155;19398184;245126240;92.67;457780;41235548;207949264;76.20
axle;60;1418072215;18058940;246465484;93.17;457804;42552076;207971808;76.21
axle;60;1418072275;17183156;247341268;93.50;457868;43789772;207627860;76.08
axle;60;1418072335;14015492;250508932;94.70;457916;47081572;207479372;76.02
axle;60;1418072395;11748736;252775688;95.56;457992;49312364;207522140;76.04
axle;60;1418072455;11737324;252787100;95.56;458048;49314008;207539440;76.05
axle;60;1418072515;11713800;252810624;95.57;458088;49315880;207555836;76.05
axle;60;1418072575;11796476;252727948;95.54;458136;49317344;207481120;76.03
axle;60;1418072635;11795844;252728580;95.54;458176;49318944;207479072;76.02
axle;60;1418072695;11795068;252729356;95.54;458208;49320304;207479072;76.02
axle;60;1418072755;11783736;252740688;95.55;458248;49321656;207479072;76.02
axle;60;1418072815;11614144;252910280;95.61;458296;49323444;207661804;76.09
axle;60;1418072875;10611836;253912588;95.99;458344;49325148;208641000;76.45
axle;60;1418072935;11685164;252839260;95.58;458404;49326964;207568012;76.06
axle;60;1418072995;11578924;252945500;95.62;458460;49328160;207682796;76.10
axle;60;1418073055;11477836;253046588;95.66;458484;49330028;207769388;76.13
axle;60;1418073115;11758784;252765640;95.55;458532;49331696;207507828;76.04
axle;60;1418073175;11697668;252826756;95.58;458572;49333296;207553032;76.05
axle;60;1418073235;11779824;252744600;95.55;458596;49333716;207480904;76.03
